Keyword,Content
materiales de arte,Guarda las tijeras y los cuchillos en su sitio después de usarlos.
sala de arte,Utilice gafas de seguridad y protéjase los ojos al realizar experimentos.
Accidente con un niño desaparecido,"Si pierdes a tus padres, espera en ese lugar."
Juegos en el agua de mar,Fíjese únicamente en las zonas con oleaje fuerte y no entre en ellas.
Natación en aguas abiertas,Siempre use un chaleco salvavidas cuando juegue en el mar.
mascotas,Pregúntale al dueño antes de tocar al animal.
vacaciones,Acuéstate temprano y levántate temprano incluso durante las vacaciones.
persiana cortafuegos,No pase por debajo de la persiana bajante.
autobús,"Cuando tomes el autobús, haz una sola fila y espera tu turno."
Subiendo al autobús,"Cuando el autobús se detenga por completo, suba y baje lentamente."
Picadura de abeja,"Si ves una abeja, no la molestes y aléjate discretamente."
caminando,Camine con confianza por la acera segura en lugar de por la carretera.
seguridad de los peatones,No mires tu teléfono mientras caminas.
Senderismo en primavera,"Cuando vayas a la montaña, usa ropa de manga larga y ten cuidado con los insectos."
Jugando con fuego,Dejen los encendedores y las cerillas para los adultos.
día lluvioso,"Cuando uses un paraguas, sujétalo de manera que puedas ver con claridad hacia adelante."
Salida de emergencia,Compruebe con antelación la señal verde de salida de emergencia.
accidente de avión,Escuche atentamente los anuncios de los auxiliares de vuelo en el avión.
Seguridad aérea,Abróchate el cinturón de seguridad en cuanto te sientes.
ciberacoso,Utiliza un lenguaje educado y amable incluso en Internet.
ciberacoso,"Al escribir comentarios, ten en cuenta los sentimientos de tu amigo."
Respeto por la vida,Cuida también a los animales y plantas pequeños.
Natación de supervivencia,"Si caes al agua, no te asustes y relaja tu cuerpo."
Seguridad vital,Caminando por caminos oscuros con los padres
envío,"Cuando subas a bordo de un barco, revisa primero tu chaleco salvavidas."
violencia sexual,"Si alguien hace algo que no te gusta, dilo claramente."
violencia sexual,Grita fuerte si alguien intenta tocar mi cuerpo.
amputación de dedo,Ten siempre cuidado de no pillarte la mano con la puerta.
Lavarse las manos,Lávese bien las manos con agua y jabón.
nadar,"Ejercicios de calentamiento antes de entrar al agua, uno, dos, uno."
teléfono inteligente,No mires tu teléfono inteligente en la oscuridad.
teléfono inteligente,Prometí usar mi teléfono inteligente solo durante un tiempo determinado.
Patines,Usa rodilleras y guantes al patinar.
esquí,Utilice siempre casco y esquíe con seguridad en la estación de esquí.
elevar,Quédese quieto en el ascensor.
elevar,Utilice el ascensor de forma segura sin apoyarse en las puertas.
intoxicación alimentaria,Lávate bien las manos antes de comer bocadillos.
intoxicación alimentaria,Cocina bien los alimentos y lávate las manos.
alimento,Tira la comida caducada en lugar de comértela.
violencia física,Hablar con los amigos en lugar de jugar con sus cuerpos
Estatua de interior,Abrígate bien en los días fríos y ten cuidado de no resfriarte.
Prevención de personas desaparecidas,"Si te pierdes, detente ahí mismo y espera."
paro cardiaco,"Si ve a una persona desplomada, llame al 119."
sumidero,"Si ve un socavón, diríjase a un lugar seguro."
trineo,Deslízate en trineo de forma segura en una zona deshabitada.
abuso infantil,"Si un amigo parece estar pasando por un mal momento, díselo al profesor."
abuso infantil,"Si tienes un amigo que está sufriendo, cuéntaselo a un adulto."
pasillo del apartamento,"No corras por el pasillo, camina con cuidado."
enfermedades oftálmicas,"Si te pican los ojos, no te los frotes y ponte gotas para los ojos."
Hábitos de conducción seguros,Obedezca las señales de tráfico y reduzca la velocidad cuando monte en bicicleta.
Juegos acuáticos al aire libre,Jugar en el agua a una profundidad segura con un adulto.
Plantas de exterior,No comas flores ni frutas desconocidas.
actividades al aire libre,Lávate bien las manos y los pies después de jugar al aire libre.
aproximadamente,Tómate únicamente la medicina que te den tus padres.
drogas,Toma los medicamentos con el permiso de un adulto.
abuso verbal,Usa solo palabras bonitas y amables con tus amigos.
abuso verbal,Decir palabras de elogio para hacer sentir bien a un amigo.
abuso verbal,Utiliza un lenguaje respetuoso y considerado hacia tus amigos.
abuso verbal,Utiliza palabras de aliento en lugar de palabras hirientes.
escalera mecánica,Sujeta firmemente el asa y colócate dentro de la línea amarilla.
escalera mecánica,Colócate correctamente en la escalera mecánica sin hacer movimientos innecesarios.
aire acondicionado,Proteja su salud ajustando el aire acondicionado a una temperatura moderada.
verano,Bebe agua con frecuencia en los días calurosos para mantenerte hidratado.
delitos informáticos,Nunca hagas clic en enlaces enviados por desconocidos.
baño,"El suelo del baño está resbaladizo, así que camine despacio."
ejercicio,Calienta bien tu cuerpo antes de hacer ejercicio.
patio de juegos,Ten cuidado de no chocar con tus amigos en el patio de recreo.
Parque acuático,Camina lentamente por el fondo de la piscina sin correr.
secuestro,"Decir ""No"" cuando un desconocido te pide que vayas"
secuestro,Rechazar cortésmente regalos de desconocidos
Prevención de secuestros,"Grita: ""¡No te dejes llevar por extraños!"""
puerta de vidrio,Tenga cuidado y no juegue delante de las puertas de cristal.
alimento,Lleva una dieta equilibrada de alimentos saludables y hazte fuerte.
conducir ebrio,Animando a los padres que conducen a conducir de forma segura.
Primeros auxilios,"Si un amigo se lastima, avísale a un adulto de inmediato."
ropa,Cámbiate la ropa mojada por ropa seca.
patines en línea,Utilice siempre equipo de seguridad y circule sobre una superficie plana.
saludo,Saludar alegremente a profesores y amigos
saludo,Dile a tu familia que los quieres por la mañana.
Internet,No publiques tu nombre ni tu dirección en internet.
insolación,"Cuando haga mucho calor, ponte un sombrero y descansa a la sombra."
Desfibrilador externo automático,Aprende cómo salvar vidas en situaciones de emergencia.
automóvil,Comprueba la parte trasera una vez más al abrir la puerta del coche.
señal de coche,"Si la luz verde parpadea, espere la siguiente señal."
viaje en coche,"Cuando el coche se detenga, mire a izquierda y derecha antes de bajarse."
bicicleta,"Cuando vayas en bicicleta, usa casco y circula por un lugar seguro."
bicicleta,Monta en bicicleta en un parque seguro y libre de coches.
bicicleta,Debes bajarte de la bicicleta y caminar con ella al cruzar los pasos de peatones.
bicicleta,"Cuando montes en bicicleta, usa un casco que te quede bien ajustado."
página,No te entretengas y escucha al profesor.
juguete,Juega con juguetes pequeños sin meterlos en la boca.
juguete,Guarda los juguetes en la caja después de jugar.
temporada de lluvias,Camina evitando los charcos cuando llueva con fuerza.
evacuación por desastre,"Cuando sea peligroso, escuche atentamente los anuncios y evacúe."
electricidad,"Observa los cables solo con los ojos, sin tocarlos."
electricidad,No toque los aparatos eléctricos si tiene las manos mojadas.
electricidad,"Toque los cables eléctricos con las manos secas, sin riesgo."
almohadilla calefactora eléctrica,Adquiera el hábito de apagar la manta eléctrica antes de salir.
toma de corriente,Es peligroso tocar los enchufes eléctricos con las manos mojadas.
cocina,"No se acerque mientras cocina, ya que está caliente."
estacionamiento,Camina de la mano con tus padres teniendo cuidado con los coches en el aparcamiento.
ejercicios de calentamiento,Realiza uno o dos ejercicios de calentamiento antes de hacer ejercicio.
Accidente por envenenamiento,No toques los detergentes ni los productos químicos y llama a un adulto.
terremoto,Métete debajo del escritorio cuando haya un terremoto.
Seguridad ante terremotos,Protégete debajo de la mesa si tiembla.
metro,"Cuando uses el metro, haz fila y espera tu turno."
ahogo,Coma despacio y mastique bien.
Jjimjilbang-Cornex,Cierra los ojos y relájate en la sauna.
Embarque de vehículos,Un niño genial que se abrocha el cinturón de seguridad nada más subirse al coche.
clase de educación física,Escucha atentamente al profesor y sigue sus instrucciones durante la clase de educación física.
chocar,Juega de forma segura sin subirte a lugares altos.
sangría,"Si sangra, presione firmemente con un paño limpio."
salud dental,Cepíllate los dientes después de las comidas.
cámping,Tenga cuidado con el fuego y permanezca acompañado por un adulto en el camping.
cámping,Tenga cuidado y no se acerque a lugares donde haya fuego encendido.
tabla de zapatilla,Usa casco cuando uses un patinete y circula por zonas libres de coches.
tabla de zapatilla,Utiliza el patinete en un parque seguro y con el equipo de protección adecuado.
tifón,"Cuando se acerque un tifón, absténgase de salir y quédese en casa para estar a salvo."
tifón,"Si hace mucho viento, cierra las ventanas y quédate dentro."
tifón,Quédese en casa cuando haga viento y llueva.
tifón,"Si hay noticias de un tifón, quédese en casa con su familia."
Ventana de cristal Typhoon,Manténgase alejado de la ventana cuando haya un tifón.
ola de calor,"En los días de mucho calor, bebe agua fría y tómate un descanso."
ola de calor,Mantener una temperatura interior fresca y mantenerse sano
ola de calor,Tómate un breve descanso a la sombra en un día de sol abrasador.
patinaje artístico,Cayendo de forma segura sobre tus nalgas
Maniobra de Heimlich,"Si se te atasca comida en la garganta, avisa inmediatamente a un adulto."
Seguridad escolar/pública,"No corras por el pasillo, camina con cuidado."
Seguridad escolar,Ten cuidado de no chocar con tus amigos en el aula.
violencia escolar,Llévate bien con tus amigos y usa palabras amables.
violencia escolar,Ser considerado con los amigos y compartir un corazón cálido
violencia escolar,Tratar a los amigos con amabilidad sin lastimarlos.
violencia escolar,Disfrutar de una vida escolar divertida respetando a los demás.
violencia escolar,"Si tienes alguna duda, habla con tu profesor y tus padres."
violencia escolar,"Cuando veas a un amigo en apuros, no hagas la vista gorda y ayúdalo."
Violencia escolar (física),Ten cuidado de no lastimarse mutuamente cuando se hagan bromas con amigos.
Denuncie la violencia escolar,"Si un amigo está siendo acosado, cuéntaselo en secreto al profesor."
Enfermedades relacionadas con el resfriado,"En los días fríos, usa varias capas de ropa y mantente abrigado."
ola fría,Salga bien abrigado con guantes y gorro.
período de descongelación,"No camines sobre el hielo en primavera, cuando el hielo se derrite."
gas helio,No inhale el gas helio; solo infle el globo.
corte de lengua,No muerdas el hielo duro; deja que se derrita antes de comerlo.
excursión,"Cuando vayas de excursión, sigue atentamente las instrucciones del profesor."
aguacero,No te acerques al arroyo cuando llueva con fuerza.
tifón de inundación,Juega de forma segura en interiores cuando haya viento y lluvia fuertes.
erupción volcánica,Usa mascarilla y quédate en casa cuando haya polvo.
quemar,"Por favor, apártese para que un adulto pueda usar el agua caliente."
fuego,"Cuando se produzca un incendio, grita ""¡Fuego!"""
fuego,"Si ve humo, cúbrase la nariz y la boca y salga al exterior."
fuego,"Si se produce un incendio, escape rápidamente en una posición baja."
fuego,Desenchufe siempre los aparatos eléctricos después de usarlos.
fuego,Utilice las escaleras en lugar del ascensor al evacuar.
protección ambiental,Amar los árboles y las flores sin arrancarlos.
contaminación ambiental,Separa y recicla la basura para desecharla de forma limpia.
cambio estacional,Vístase adecuadamente cuando cambie el clima.
puerta giratoria,Atraviesa las puertas giratorias lentamente y sin perder el tiempo.
Paso de peatones,Levanta la mano y cruza valientemente en la luz verde.
Paso de peatones,Comprueba si el coche se ha detenido antes de cruzar.
ver la televisión,Mira la televisión desde la distancia con una postura adecuada.
Seguridad del televisor,No te cuelgues ni te subas al televisor.
Prevención de secuestros,"Grita ""No"" si un desconocido te pide que vayas con él."
patio de juegos,Disfruten de las atracciones de forma ordenada.
Prevención de secuestros,"Si te pierdes, pide ayuda a un agente de policía o en una tienda."
Lavarse las manos,Lávate las manos con jabón después de usar el baño.
fuego,"Si se declara un incendio, no se esconda; evacúe al exterior rápidamente."
ejercicios de calentamiento,Estírate bien antes de hacer ejercicio.
juguete,Juega bien con tus amigos sin tirar juguetes.
autobús,Siéntese en silencio en su asiento en el autobús.
Internet,Mantén mi nombre y número de teléfono en secreto en internet.
cocina,"Hay muchos objetos peligrosos en la cocina, así que ten cuidado."
drogas,Siempre consulta con tus padres o con un médico sobre cualquier medicamento que tomes.
alimento,Elige y consume solo alimentos saludables y frescos.
Juegos acuáticos,"El suelo de la piscina está resbaladizo, así que camine con cuidado."
metro,Espere a un lugar seguro detrás de la línea amarilla en el metro.
baño,Camina despacio en el baño en lugar de correr.
Derechos de los niños,Trata el corazón de un amigo con el mismo cariño que el tuyo.
aula,Habla en voz baja en el aula sin alzar la voz.
planta,Simplemente admira las plantas del parque con tus ojos.
señal de coche,"Aunque el semáforo esté en verde, asegúrese de comprobar si el coche se ha detenido."
intoxicación alimentaria,"En verano, guarda los alimentos en el refrigerador y cocínalos bien antes de consumirlos."
elevar,No intentes entrar a la fuerza cuando las puertas se estén cerrando; toma la siguiente.
aproximadamente,"Las pastillas no son caramelos, así que no las tomes a la ligera."
fuego,"Los encendedores son peligrosos, así que nunca los toques."
terremoto,"Si ocurre un terremoto, protéjase la cabeza y escóndase debajo de un escritorio."
quemar,"Si te quemas con agua caliente, enfría la zona afectada con agua fría."
cámping,Siempre debes estar acompañado por un adulto cuando enciendas una fogata en un campamento.
