Keyword,Content
автомобиль,"Ещё раз проверьте заднюю часть, открывая дверь автомобиля."
автомобильный сигнал,"Если зеленый свет мигает, дождитесь следующего сигнала."
Поездка на машине,"Когда машина остановится, посмотрите налево и направо, прежде чем выходить."
велосипед,При езде на велосипеде обязательно надевайте шлем и выбирайте безопасное место.
велосипед,"Катайтесь на велосипеде в безопасном парке, свободном от автомобилей."
велосипед,"Вы должны спешиться и перейти пешеходный переход пешком, проведя велосипед пешком."
велосипед,При езде на велосипеде обязательно надевайте плотно прилегающий шлем.
страница,Не балуйтесь и слушайте учителя.
игрушка,"Играйте с маленькими игрушками, не засовывая их в рот."
игрушка,После игры убирайте игрушки в коробку.
сезон дождей,Во время сильного дождя следует обходить лужи пешком.
эвакуация при стихийном бедствии,В случае опасности внимательно слушайте объявления и эвакуируйтесь.
электричество,"Рассмотрите провода только глазами, не прикасаясь к ним."
электричество,Не прикасайтесь к электроприборам мокрыми руками.
электричество,"Прикасайтесь к электрическим проводам сухими руками, соблюдая правила безопасности."
электрическая грелка,Выработайте привычку выключать электрическое одеяло перед выходом из дома.
электрическая розетка,Прикасаться к электрическим розеткам мокрыми руками опасно.
кухня,Во время готовки не подходите к горячему предмету.
парковка,"Идите рука об руку с родителями, соблюдая осторожность и не опаздывая на машины на парковке."
разминочные упражнения,Перед началом тренировки выполните одно-два разминочных упражнения.
Отравление,Не прикасайтесь к моющим средствам или химикатам и позовите взрослого.
землетрясение,Во время землетрясения прячьтесь под стол.
Безопасность при землетрясениях,"Если стол затрясется, прикройте себя изнутри."
метро,При поездке в метро встаньте в очередь и дождитесь своей очереди.
душить,Ешьте медленно и тщательно пережевывайте пищу.
Джимджилбанг-Корнекс,Закройте глаза и расслабьтесь в сауне.
Посадка в транспортное средство,"Крутой парень, который первым делом пристегивает ремень безопасности, как только садится в машину."
урок физкультуры,Внимательно слушайте учителя и следуйте его указаниям во время урока физкультуры.
крушение,"Играйте безопасно, не забираясь на высоту."
кровотечение,"Если краска растечется, плотно прижмите чистой тканью."
здоровье зубов,Чистите зубы после еды.
кемпинг,Будьте осторожны с огнём и оставайтесь в кемпинге под присмотром взрослых.
кемпинг,"Будьте осторожны и не приближайтесь к местам, где разводят костры."
кикерборд,"При езде на самокате обязательно надевайте шлем и катайтесь в местах, свободных от автомобилей."
кикерборд,"Катайтесь на самокате в безопасном парке, используя защитное снаряжение."
тайфун,При приближении тайфуна воздержитесь от выхода на улицу и оставайтесь дома в безопасности.
тайфун,"Если очень ветрено, закройте окна и оставайтесь внутри."
тайфун,"Оставайтесь дома, когда ветрено и дождливо."
тайфун,"Если поступают новости о тайфуне, оставайтесь дома со своей семьей."
Стеклянное окно Typhoon,Во время тайфуна держитесь подальше от окна.
жара,В очень жаркие дни выпейте холодной воды и сделайте перерыв.
жара,Поддержание прохладной температуры в помещении и сохранение здоровья
жара,В яркий солнечный день сделайте небольшой перерыв в тени.
фигурное катание,Безопасное падение на ягодицы.
Приём Геймлиха,"Если у вас застряла пища в горле, немедленно сообщите об этом взрослому."
Безопасность в школе/общественное благополучие,"Не бегайте по коридору, ходите тихо."
Безопасность в школе,"Будьте осторожны, чтобы не столкнуться с друзьями в классе."
насилие в школе,Хорошо ладьте со своими друзьями и используйте добрые слова.
насилие в школе,Проявлять внимательность к друзьям и дарить доброту.
насилие в школе,Доброе отношение к друзьям без причинения им вреда.
насилие в школе,Весёлая школьная жизнь при взаимном уважении.
насилие в школе,"Если у вас есть опасения, поговорите со своим учителем и родителями."
насилие в школе,"Если вы видите, что ваш друг попал в беду, не закрывайте на это глаза и помогите ему."
Насилие в школе (физическое),"Будьте осторожны, чтобы не причинить друг другу вреда, когда будете разыгрывать друзей."
Сообщайте о насилии в школах,"Если вашего друга травят, расскажите об этом учителю втайне."
"Заболевания, связанные с холодом",В холодные дни одевайтесь многослойно и не бойтесь переодеваться в теплую одежду.
холодная волна,"Выходите на улицу, тепло одетые в перчатки и шапку."
период оттаивания,"Не выходите на лед весной, когда лед тает."
гелий,Не вдыхайте гелий; надувайте только воздушный шарик.
язык,"Не кусайте твердый лед; дайте ему растаять, прежде чем есть."
Полевая экскурсия,"Отправляясь на экскурсию, внимательно следуйте инструкциям учителя."
ливень,Не подходите к ручью во время сильного дождя.
тайфун,В ветреную и дождливую погоду можно безопасно играть в помещении.
Вулканическое извержение,"Носите маску и оставайтесь дома, когда пыльно."
гореть,"Пожалуйста, отойдите в сторону, чтобы взрослый мог воспользоваться горячей водой."
огонь,"Когда вспыхнет пожар, кричите «Пожар!»"
огонь,"Если вы видите дым, закройте нос и рот и эвакуируйтесь на улицу."
огонь,"В случае возникновения пожара, быстро эвакуируйтесь, укрывшись на небольшой высоте."
огонь,Всегда отключайте электроприборы от сети после использования.
огонь,При эвакуации используйте лестницу вместо лифта.
защита окружающей среды,"Любить деревья и цветы, не срывая их."
загрязнение окружающей среды,Разделяйте и перерабатывайте мусор для его чистой утилизации.
сезонные изменения,Одевайтесь соответственно переменам погоды.
вращающаяся дверь,Проходите через вращающиеся двери медленно и без лишних движений.
Пешеходный переход,Поднимите руку и смело переходите дорогу на зелёный свет.
Пешеходный переход,"Перед переходом убедитесь, что автомобиль остановился."
Просмотр телевизора,"Смотрите телевизор на расстоянии, соблюдая правильную позу."
Безопасность телевизора,Не висите и не забирайтесь на телевизор.
Предотвращение похищений,"Кричите «Нет», если незнакомец предлагает вам пойти вместе."
детская площадка,Катайтесь на аттракционах в порядке очереди.
Предотвращение похищений,"Если вы заблудились, обратитесь за помощью к полицейскому или в магазин."
Мытье рук,После посещения туалета вымойте руки с мылом.
огонь,В случае возникновения пожара не прячьтесь; быстро эвакуируйтесь на улицу.
разминочные упражнения,Перед тренировкой тщательно растянитесь.
игрушка,"Играйте хорошо с друзьями, не бросая игрушки."
автобус,Сядьте спокойно на своё место в автобусе.
Интернет,Сохраните мои имя и номер телефона в тайне в интернете.
кухня,"На кухне много опасных предметов, поэтому будьте осторожны."
наркотики,Всегда консультируйтесь с родителями или врачом по поводу принимаемых лекарств.
еда,Выбирайте и употребляйте в пищу только здоровую и свежую пищу.
Игры с водой,"В бассейне скользко, поэтому ходите осторожно."
метро,Ожидайте в безопасном месте за жёлтой линией в метро.
ванная комната,"В ванной комнате лучше медленно ходить, а не бегать."
Права детей,"Относитесь к сердцу друга так же серьезно, как и к своему собственному."
классная комната,"Говорите тихо в классе, не повышая голоса."
растение,Просто полюбуйтесь растениями в парке своими глазами.
автомобильный сигнал,"Даже если горит зеленый свет, обязательно проверьте, остановилась ли машина."
пищевое отравление,Летом храните продукты в холодильнике и тщательно готовьте их перед употреблением.
поднимать,"Не стоит проталкиваться вперед, когда двери уже закрываются; займите следующую."
примерно,"Таблетки — это не конфеты, поэтому не ешьте их бездумно."
огонь,"Зажигалки опасны, поэтому никогда к ним не прикасайтесь."
землетрясение,В случае землетрясения защитите голову и спрячьтесь под столом.
гореть,При ожоге горячей водой охладите холодной водой.
кемпинг,При разведении костра в кемпинге всегда находитесь в сопровождении взрослого.
