키워드,알림장 내용,유튜브 링크,유튜브 채널,시간(분)
교차로,초록불이 켜지면 좌우를 살피고 건너기,https://www.youtube.com/watch?v=05H5trbB9do&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=2,아이쿠,7
교통,도로를 건널 때는 주위를 살피며 천천히 걷기,https://www.youtube.com/watch?v=QWumhSnLcVU&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=14,초등백과,6
교통사고,길을 건널 땐 멈춰 서서 차가 오는지 확인하기,https://youtu.be/gr2n4M-87Mc?si=4luSxUD3BaiXT9bV,안전한TV,9
교통사고,공이 도로로 굴러가면 어른에게 도움 청하기,https://youtu.be/qfkicH0qxho?si=U4kQAbV_OI62QN-a,안전한TV,4
교통안전,길을 걸을 때는 앞을 잘 보고 걷기,https://www.youtube.com/watch?v=d3J2c7_uQw4&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=15,아이쿠,7
교통안전,차가 멈춘 것을 확인하고 손을 들고 건너기,https://youtu.be/LZ98J7cl4Wk?si=3XsWJaMFX5nfST_K,안전한TV(켈리),4
교통안전,횡단보도에서는 좌우를 살피고 안전하게 건너기,https://youtu.be/bg9u2f37vew?si=AiiS14N5r_l-dzKW,안전한TV,3
금연,담배 연기가 나면 코를 막고 멀리 피하기,https://youtu.be/UpaKlL44KXw?si=varwLQQjnGR1qYv5,안전한TV,6
금연,몸에 해로운 담배는 싫다고 분명하게 말하기,https://www.youtube.com/watch?v=jaJjHl5Qd18&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=10,초등백과,6
금품갈취,도움이 필요할 땐 선생님께 바로 말씀드리기,https://www.youtube.com/watch?v=1DM3K1s_MRw&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=6,초등백과(동물의숲),2
기침,기침할 때는 옷소매로 입을 가리는 센스,https://www.youtube.com/watch?v=AxZA4N6M9QQ,뽀로로,11
기후위기,지구를 위해 쓰레기를 줄이고 전기를 아껴 쓰기,https://www.youtube.com/watch?v=eS0iM63Yjqg&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=20,안전한TV(켈리),7
끼임사고,문이나 계단 틈에 손이 끼이지 않게 조심하기,https://www.youtube.com/watch?v=JLopCv8P8DM&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=36,아이쿠,7
놀이,친구들과 차례를 지키며 사이좋게 놀기,https://www.youtube.com/watch?v=pFYFyBe0iro&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=4,키드키즈넷,5
놀이공원,놀이기구를 탈 땐 안전벨트를 딸깍 채우기,https://www.youtube.com/watch?v=A2kMQE1dfkQ&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=11,안전한TV(켈리),5
놀이기구,출발하기 전에 안전장치를 꼼꼼하게 확인하기,https://youtu.be/B-aBBGzuKTI?si=eOHSR0iLducnN41-,안전한TV,9
놀이터,미끄럼틀은 바른 자세로 앉아서 타기,https://www.youtube.com/watch?v=c7MY5hkyB7A&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=8,아이쿠,7
눈 오는 날,눈길에서는 주머니에서 손을 빼고 조심히 걷기,https://www.youtube.com/watch?v=NzTvglIyNt4&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=26,아이쿠,7
당류 줄이기,달콤한 음료수 대신 시원한 물 마시기,https://www.youtube.com/watch?v=fvo8gj07E7U&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=8,키드키즈넷,5
대피로,비상구 표지판이 어디 있는지 미리 찾아보기,https://www.youtube.com/watch?v=dgy-aOPgJs8&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=37,아이쿠,7
도박,돈을 걸고 하는 게임은 위험하니 하지 않기,https://youtu.be/A57SB6yxK6s?si=IBIg0Lshjmn0CvSK,위기탈출넘버원,19
도박,친구들과는 돈 내기 대신 건전한 놀이하기,https://youtu.be/GkWvwdSC2nY?si=wAbrqlywI2Pp4B-n,안전한TV,5
독감,건강을 위해 손을 자주 씻고 마스크 쓰기,https://www.youtube.com/watch?v=VJCTrV-ySTo&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=21,안전한TV(켈리),6
독사,산에서 뱀을 보면 조용히 뒷걸음질로 피하기,https://youtu.be/6TlbT3jISD0?si=3TjG_ULLwM9O_qCp,위기탈출넘버원,17
동물,귀여운 동물도 함부로 만지지 않고 눈으로 보기,https://www.youtube.com/watch?v=REYrmpWJkTs&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=6,아이쿠,7
동물안전,모르는 동물에게는 가까이 가지 않기,https://youtu.be/duHeGxoecHU?si=-f9OxKtZaLD2wU8W,우당탕탕은하안전단,11
등하굣길,학교 가는 길에는 안전한 인도로 걷기,https://youtu.be/UHqy7mcpAgU?si=5hxDTT-FzUF8lQsR,안전한TV,5
등하굣길,걸어 다닐 때는 스마트폰을 잠시 넣어두기,https://youtu.be/C31t-nkEiRk?si=YeNe2vYxQUntMmeD,안전한TV,6
등하원길,찻길과 멀리 떨어진 안전한 길로 다니기,https://www.youtube.com/watch?v=ps2hfiBJp4g&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=9,키드키즈넷,5
따돌림,모든 친구들과 사이좋게 어울려 놀기,https://www.youtube.com/watch?v=M4xS8BA2mTA&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=5,초등백과(동물의숲),3
또래괴롭힘,친구를 소중하게 대하고 사이좋게 지내기,https://youtu.be/cR1OyQl1k20?si=xe4W2ffSPERAMkPB,우당탕탕은하안전단,11
뜨거운 것,뜨거운 음식은 호호 불어서 조심히 먹기,https://www.youtube.com/watch?v=6uCz5uSffnE&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=5,키드키즈넷,5
말범,동물을 만진 후에는 손을 깨끗이 씻기,https://youtu.be/1Bx95IPtD9Q?si=bBUTCspve3sGZrL6,안전한TV,8
멀티탭,전기 콘센트는 필요한 만큼만 사용하기,https://www.youtube.com/watch?v=Jad60RoW2Ys&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=12,안전한TV(켈리),4
문 끼임,문을 닫을 때는 손이 끼지 않게 확인하기,https://www.youtube.com/watch?v=ijqUhyQjSbc,우당탕탕은하안전단,11
물건 낙하,높은 곳에 있는 물건은 어른에게 꺼내 달라고 하기,https://youtu.be/a7NuaNGenVo?si=O6jj-IC8CCcDOnTc,위기탈출넘버원,17
물놀이,물놀이할 땐 튼튼한 구명조끼 입기,https://www.youtube.com/watch?v=XZqpXMF4y_Y&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=57,아이쿠,7
물놀이,안전한 곳에서만 물놀이하고 깊은 곳은 피하기,https://youtu.be/0oZlNNFUFLM?si=pHkN6-qThkzUiTzq,안전한TV,6
물놀이,물살이 센 곳에서는 물놀이하지 않기,https://youtu.be/ttvKRnJmvqk?si=sZCws-FM-pNgXCiM,안전한TV,11
미세먼지,공기가 안 좋은 날엔 마스크 쓰고 건강 지키기,https://www.youtube.com/watch?v=V4ngi4-8xcE,안전한TV(켈리),5
미술도구,가위나 칼은 쓰고 나서 제자리에 정리하기,https://www.youtube.com/watch?v=UEe92-VToLA&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=50,아이쿠,7
미술실,실험할 때는 보안경을 쓰고 눈을 보호하기,https://www.youtube.com/watch?v=rm0JW72TbWY,우당탕탕은하안전단,11
미아사고,부모님을 잃어버리면 그 자리에서 기다리기,https://youtu.be/yiaKWisvBV0?si=TZGBe0-OS2Yn7zZH,우당탕탕은하안전단,11
바다물놀이,파도가 센 곳은 눈으로만 보고 들어가지 않기,https://youtu.be/I1GT-3UvnUs?si=sUkseK_Cvam_hWoK,안전한TV,7
바다수영,바다에서는 구명조끼를 꼭 입고 놀기,https://youtu.be/4pMEgOTcBj0?si=jUvHJMXJBHNL7T2S,위기탈출넘버원,16
반려동물,동물을 만지기 전에는 주인에게 물어보기,https://www.youtube.com/watch?v=fEntZf8ND8s&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=9,뽀로로,10
방학,방학 때도 일찍 자고 일찍 일어나기,https://www.youtube.com/watch?v=UPFZvGmd78M&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=25,초등백과,4
방화셔터,내려오는 셔터 아래로는 지나가지 않기,https://www.youtube.com/watch?v=axWUBiiAjLs&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=9,안전한TV(켈리),5
버스,버스를 탈 때는 한 줄로 서서 차례 지키기,https://www.youtube.com/watch?v=zFedo1llpVc&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=45,아이쿠,7
버스탑승,버스가 완전히 멈추면 천천히 타고 내리기,https://youtu.be/sQdfXjVeb0s?si=6cWRwHIiR72iwiad,뽀로로,11
벌쏘임,벌이 보이면 건드리지 말고 조용히 피하기,https://youtu.be/xEPlg4x4mJM?si=2gjh2Yq3Pt47iiyI,안전한TV,5
보행,찻길이 아닌 안전한 인도로 씩씩하게 걷기,https://www.youtube.com/watch?v=HbU102WgF7Q&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=49,아이쿠,7
보행안전,걸어 다닐 때는 휴대폰을 보지 않기,https://youtu.be/xR9PiheTZuY?si=JnL103ADW3dk5cCw,우당탕탕은하안전단,11
봄철산행,산에 갈 때는 긴 옷을 입고 벌레 조심하기,https://youtu.be/jk1-y5VdVV8?si=rsCWAtZNinvMhsrb,안전한TV,4
불장난,라이터나 성냥은 어른들에게 맡기기,https://www.youtube.com/watch?v=_hiivnND-EA&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=5,안전한TV(켈리),5
비 오는 날,우산을 쓸 때는 앞이 잘 보이게 들기,https://www.youtube.com/watch?v=L9IATmWsirM&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=32,아이쿠,7
비상구,초록색 비상구 표시를 미리 확인해 두기,https://www.youtube.com/watch?v=2Bkgwm0FZkg&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=7,키드키즈넷,5
비행기사고,비행기에서는 승무원의 안내를 잘 듣기,https://youtu.be/5-_7UCgq2xA?si=25ubn8dnO_KbYzsd,위기탈출넘버원,21
비행기안전,자리에 앉으면 안전벨트부터 매기,https://youtu.be/JUl9mp-XQbw?si=K7r9eyPrpELbmUmr,우당탕탕은하안전단,11
사이버폭력,인터넷에서도 예의 바르고 고운 말 쓰기,https://www.youtube.com/watch?v=L7j_apLd1P4&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=8,초등백과(동물의숲),6
사이버폭력,댓글을 달 때는 친구 마음을 생각하며 쓰기,https://www.youtube.com/watch?v=TD--XVJNiRk&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=22,초등백과,5
생명존중,작은 동물과 식물도 소중하게 아껴주기,https://youtu.be/Y6XdXOBpIY8?si=pB3lduyDUSQJpTpD,우당탕탕은하안전단,11
생존수영,물에 빠지면 당황하지 말고 몸에 힘 빼기,https://www.youtube.com/watch?v=822ldObjg28&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=13,안전한TV(켈리),6
생활안전,어두운 길은 부모님과 함께 다니기,https://www.youtube.com/watch?v=NnqZL0CQLzw&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=11,아이쿠,7
선박,배를 타면 가장 먼저 구명조끼 확인하기,https://www.youtube.com/watch?v=X7Z6qvD6hAU,우당탕탕은하안전단,11
성폭력,싫은 행동을 하면 싫다고 분명하게 말하기,https://youtu.be/NWBXGU43FNg?si=68BaPz1p6NOumrOL,우당탕탕은하안전단,11
성폭력,누가 내 몸을 만지려고 하면 큰 소리로 소리치기,https://www.youtube.com/watch?v=xGKqRj7J98Y&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=7,초등백과(동물의숲),2
손가락 절단,문틈에 손이 끼지 않게 항상 조심하기,https://youtu.be/Jz4T3OfEDAM?si=ZAR2mpupXGse8iDF,위기탈출넘버원,25
손씻기,비누 거품으로 손 구석구석 깨끗이 씻기,https://www.youtube.com/watch?v=5WUFwuTpqdA&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=17,아이쿠,7
수영,물에 들어가기 전에는 준비운동 헛둘헛둘,https://youtu.be/Yklx09fZsoA?si=QNDaklxiHDGTnrSb,안전한TV,6
스마트폰,깜깜한 곳에서는 스마트폰 보지 않기,https://www.youtube.com/watch?v=OwyWUvXZoUI,우당탕탕은하안전단,11
스마트폰,스마트폰은 정해진 시간만 사용하기로 약속,https://www.youtube.com/watch?v=u3jGLNMGnQ0&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=3,초등백과,9
스케이트,스케이트 탈 땐 무릎 보호대와 장갑 착용하기,https://www.youtube.com/watch?v=uC1Zcy2rlkg&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=21,초등백과,5
스키,스키장에서는 헬멧을 꼭 쓰고 안전하게 타기,https://www.youtube.com/watch?v=zxekOTBVoas&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=20,초등백과,5
승강기,엘리베이터 안에서는 얌전히 서 있기,https://www.youtube.com/watch?v=cpX_s8qSzUw&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=48,아이쿠,7
승강기,승강기 문에 기대지 말고 안전하게 이용하기,https://youtu.be/QlR0xf3TlRg?si=wLhdMhDG3sG6u9Vg,안전한TV,7
식중독,간식 먹기 전에는 손을 뽀득뽀득 씻기,https://www.youtube.com/watch?v=TsT77hD-LIs&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=31,아이쿠,7
식중독,음식은 익혀 먹고 손은 깨끗이 씻기,https://www.youtube.com/watch?v=_wGz8d8gaWE&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=6,초등백과,7
식품,날짜가 지난 음식은 먹지 않고 버리기,https://www.youtube.com/watch?v=_SaNmidt9LE,우당탕탕은하안전단,11
신체폭력,친구와 몸으로 장난치지 않고 말로 하기,https://www.youtube.com/watch?v=KCNbpS0GbW0&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=3,초등백과(동물의숲),2
실내동상,추운 날엔 따뜻하게 입고 감기 조심하기,https://www.youtube.com/watch?v=UoeS9Gb7kMQ&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=25,안전한TV(켈리),6
실종예방,길을 잃으면 그 자리에서 멈춰서 기다리기,https://www.youtube.com/watch?v=PsCQ7r5H8sI&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=4,아이쿠,7
심정지,쓰러진 사람을 보면 119에 신고하기,https://www.youtube.com/watch?v=RpviDceU-_s&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=2,서울소방,16
싱크홀,땅이 꺼진 곳이 보이면 안전한 곳으로 피하기,https://www.youtube.com/watch?v=voRcFn6QNyM&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=19,안전한TV(켈리),4
썰매,썰매는 사람이 없는 곳에서 안전하게 타기,https://www.youtube.com/watch?v=E4NpSVXp53I&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=43,아이쿠,7
아동학대,친구가 힘들어 보이면 선생님께 말씀드리기,https://youtu.be/pUnpaHBs6a4?si=_yI8jg2pOTWq7dHv,우당탕탕은하안전단,11
아동학대,마음이 아픈 친구가 있으면 어른에게 알리기,https://www.youtube.com/watch?v=YcMqmsohh4s&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=13,초등백과,5
아파트복도,복도에서는 뛰지 말고 사뿐사뿐 걷기,https://youtu.be/l0eD2P70CWg?si=bgDaqrXeTU76hWFT,위기탈출넘버원,15
안과질환,눈이 간지러우면 비비지 말고 안약 넣기,https://youtu.be/pr-WWj9sUS4?si=1dULzXbnaDMpbu9K,위기탈출넘버원,16
안전운행습관,자전거 탈 때 신호를 잘 지키고 속도 줄이기,https://youtu.be/R5jhVMjg6qE?si=7Y6d--gKJXqQdcSN,우당탕탕은하안전단,11
야외물놀이,어른과 함께 안전한 깊이에서 물놀이하기,https://youtu.be/n_CeRl7FU_g?si=fvxUPhR6WebkXaf6,우당탕탕은하안전단,11
야외식물,모르는 꽃이나 열매는 먹지 않기,https://www.youtube.com/watch?v=IUBEmjIem9k&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=28,아이쿠,7
야외활동,밖에서 놀다 오면 손발을 깨끗이 씻기,https://youtu.be/xHCi-vmTcj0?si=NXwJm-6KLnja6-z0,안전한TV,6
약,약은 부모님이 주시는 것만 먹기,https://www.youtube.com/watch?v=KMHVwD8B_V8&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=3,키드키즈넷,5
약물,약은 어른의 허락을 받고 먹기,https://www.youtube.com/watch?v=bDCh7e9MCW0&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=14,아이쿠,7
언어폭력,친구에게는 예쁘고 고운 말만 쓰기,https://youtu.be/vhDARYK7CvU?si=kHJ7lX1iN4JLHBcK,우당탕탕은하안전단,11
언어폭력,친구 기분을 좋게 하는 칭찬의 말 건네기,https://youtu.be/1aZJU8gsBjM?si=lATFxuvwmOIBhfzp,안전한TV,7
언어폭력,친구를 존중하고 배려하는 말 사용하기,https://www.youtube.com/watch?v=s75cmeHqfGs&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=2,초등백과(동물의숲),3
언어폭력,나쁜 말 대신 힘이 되는 좋은 말 쓰기,https://www.youtube.com/watch?v=FlFtI4ELpkI,위헬프_푸른나무재단,6
에스컬레이터,손잡이를 꼭 잡고 노란 선 안에 서기,https://www.youtube.com/watch?v=j7LFRHfxKfA&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=19,아이쿠,7
에스컬레이터,에스컬레이터에서는 장난치지 않고 바르게 서기,https://youtu.be/Htaou5rtuxg?si=_Q1gwIC1B_8IzM-u,안전한TV,6
에어컨,에어컨 온도는 적당하게 맞춰서 건강 지키기,https://www.youtube.com/watch?v=1Opl2yfCu6A&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=7,뽀로로,10
여름,더운 날에는 물을 자주 마셔서 수분 보충하기,https://www.youtube.com/watch?v=zOLQKlJjqLQ&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=8,뽀로로,11
온라인범죄,모르는 사람이 보낸 링크는 절대 누르지 않기,https://www.youtube.com/watch?v=ZcguVFDsoSw&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=16,안전한TV(켈리),7
욕실,욕실 바닥은 미끄러우니 천천히 걷기,https://www.youtube.com/watch?v=sO-mMU5E-DQ&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=30,아이쿠,7
운동,운동하기 전에는 몸을 충분히 풀어주기,https://www.youtube.com/watch?v=sAdyWGXGzNg&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=7,초등백과,3
운동장,운동장에서는 친구들과 부딪히지 않게 조심하기,https://www.youtube.com/watch?v=a6mSkjePFYQ&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=35,아이쿠,7
워터파크,수영장 바닥에서는 뛰지 않고 천천히 걷기,https://youtu.be/D5RfLjarmAA?si=O0B6Gh25IXQMJgFa,안전한TV,7
유괴,낯선 사람이 가자고 하면 싫어요라고 말하기,https://youtu.be/JeMZF0hh5Yw?si=qruzPEzYg1n9tvpw,안전한TV,6
유괴,모르는 사람이 주는 선물은 정중히 거절하기,https://www.youtube.com/watch?v=ATTJNq3BYKI&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=2,초등백과,5
유괴예방,모르는 사람이 데려가려 하면 안 돼요라고 외치기,https://www.youtube.com/watch?v=BPhhAJMxR-c&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=7,아이쿠,7
유리문,유리문 앞에서는 장난치지 않고 조심하기,https://youtu.be/v6o9i7Db0Go?si=WBVLYCWBhStfHW6x,위기탈출넘버원,16
음식,건강한 음식을 골고루 먹고 튼튼해지기,https://www.youtube.com/watch?v=u79SWoj62mU&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK,키드키즈넷,5
음주운전,운전하시는 부모님께 안전운전 응원하기,https://youtu.be/NBBLfhcsJcc?si=AiIu0axEQwWWF4_w,안전한TV,7
응급처치,친구가 다치면 빨리 어른에게 알리기,https://youtu.be/_8oZg9TpLDQ?si=z_uAbKIBtsjMIdDX,우당탕탕은하안전단,11
의류,비에 젖은 옷은 뽀송뽀송한 옷으로 갈아입기,https://www.youtube.com/watch?v=SM1UHLiU5BI,우당탕탕은하안전단,11
인라인스케이트,안전장비를 꼭 하고 평평한 곳에서 타기,https://www.youtube.com/watch?v=DuPhh8EAUgY&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=20,아이쿠,7
인사,선생님과 친구들에게 밝게 인사하기,https://www.youtube.com/watch?v=5-0xsEw5pMs&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=30,초등백과,3
인사,아침에는 가족들에게 사랑한다고 말하기,https://www.youtube.com/watch?v=MxJlDUxGpc0&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=2,뽀로로,11
인터넷,이름이나 주소는 인터넷에 올리지 않기,https://www.youtube.com/watch?v=5lcvVKVW30A&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=21,아이쿠,7
일사병,햇볕이 뜨거울 땐 모자 쓰고 그늘에서 쉬기,https://www.youtube.com/watch?v=xYAIPsvkGxA&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=14,안전한TV(켈리),5
자동심장충격기,응급 상황에 생명을 구하는 방법 배워두기,https://youtu.be/ViZtrjdwY9I?si=V-v7yumqtRBfXMq2,안전한TV,3
자동차,차 문을 열 때는 뒤쪽을 한 번 더 확인하기,https://www.youtube.com/watch?v=i-QIFBJIMxY&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=11,뽀로로,10
자동차신호,초록불이 깜빡이면 다음 신호를 기다리기,https://www.youtube.com/watch?v=OVqWgzmKzco&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=25,아이쿠,7
자동차탑승,차가 멈추면 좌우를 살피고 내리기,https://youtu.be/FbR-vhkE3sk?si=jAuEjFNpd6WcYqbg,우당탕탕은하안전단,11
자전거,자전거 탈 땐 헬멧 쓰고 안전한 곳에서 타기,https://www.youtube.com/watch?v=zsTC0dtEafo&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=16,아이쿠,7
자전거,자전거는 차가 없는 안전한 공원에서 타기,https://youtu.be/W-Unxjr4mY0?si=rjMN5XJhBSPie2I0,안전한TV,6
자전거,횡단보도에서는 자전거에서 내려서 끌고 가기,https://www.youtube.com/watch?v=BrcLDEc5big&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=8,초등백과,8
자전거,자전거 탈 때는 머리에 꼭 맞는 헬멧 쓰기,https://www.youtube.com/watch?v=KRJ72iE6pQQ&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=6,뽀로로,10
장,장난치지 않고 선생님 말씀 잘 듣기,https://www.youtube.com/watch?v=hfvRJs_UKL8&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=10,키드키즈넷,5
