Keyword,Content
bicycle,Wear a helmet and ride in a safe place when cycling.
bicycle,"Ride your bike in a safe, car-free park."
bicycle,You must dismount and walk your bicycle across crosswalks.
bicycle,Wear a helmet that fits snugly when riding a bicycle.
page,Don't play around and listen to the teacher.
toy,Play with small toys without putting them in your mouth
toy,Put away toys in the box after playing.
rainy season,Walk while avoiding puddles when it rains heavily
disaster evacuation,"When it is dangerous, listen carefully to announcements and evacuate."
electricity,"Look at the wires with your eyes only, without touching them."
electricity,Do not touch electrical appliances if your hands are wet.
electricity,Touch electrical cords safely with dry hands.
electric heating pad,Develop the habit of turning off the electric blanket before going out
electrical outlet,It is dangerous to touch electrical outlets with wet hands.
kitchen,Do not go near when cooking as it is hot.
parking lot,Walk hand in hand with your parents while being careful of cars in the parking lot
warm-up exercises,"Do one, two warm-up exercises before exercising."
Poisoning accident,"Do not touch detergents or chemicals, and call an adult."
earthquake,Go under the desk when an earthquake hits
Earthquake Safety,Protect yourself under the table if it shakes
subway,"When taking the subway, stand in line and wait your turn."
choke,Eat slowly and chew thoroughly.
Jjimjilbang-Cornex,Close your eyes and relax at the sauna
Vehicle boarding,A cool child who buckles their seatbelt first thing when getting in the car
PE class,Listen carefully to the teacher and follow their instructions during PE class.
crash,Play safely without climbing to high places
bleeding,"If it bleeds, press firmly with a clean cloth."
dental health,Brush your teeth after meals
camping,Be careful of fire and stay with an adult at the campsite.
camping,Be careful and do not go near places where fires are lit.
kickboard,Wear a helmet when riding a kick scooter and ride in a car-free area.
kickboard,Ride a kick scooter in a safe park wearing protective gear.
typhoon,"When a typhoon approaches, refrain from going out and stay safe at home."
typhoon,"If it is very windy, close the windows and stay inside."
typhoon,Stay home when it is windy and rainy.
typhoon,"If there is news of a typhoon, stay home with your family"
Typhoon Glass Window,Stay away from the window when a typhoon is blowing
heatwave,"On very hot days, drink some cold water and take a break."
heatwave,Keeping the indoor temperature cool and staying healthy
heatwave,Take a short break in the shade on a blazing sunny day
figure skating,Falling safely on your buttocks
Heimlich maneuver,"If food gets stuck in your throat, tell an adult immediately."
School/Public Safety,"Do not run in the hallway, walk softly"
School Safety,Be careful not to bump into friends in the classroom
school violence,Get along well with your friends and use kind words
school violence,Being considerate of friends and sharing a warm heart
school violence,Treating friends kindly without hurting them
school violence,Having a fun school life while respecting each other
school violence,"If you have concerns, talk to your teacher and parents."
school violence,"When you see a friend in trouble, don't turn a blind eye and help them."
School violence (physical),Be careful not to hurt each other when playing pranks with friends
Report school violence,"If a friend is being bullied, secretly tell the teacher"
Cold-related illnesses,"On cold days, wear layers of clothing and stay warm"
cold wave,Go out warmly bundled up in gloves and a hat
thawing period,Do not go on the ice in the spring when the ice melts
helium gas,Do not inhale the helium gas; only fill the balloon.
tongue cut,Don't bite hard ice; let it melt before eating.
Field trip,"When going on a field trip, follow the teacher's instructions carefully."
downpour,Do not go near the stream when it rains heavily
flood typhoon,Play safely indoors when the wind and rain are strong
Volcanic eruption,Wear a mask and stay indoors when it is dusty
burn,Please step aside so an adult can use the hot water.
fire,"When a fire breaks out, shout ""Fire!"""
fire,"If you see smoke, cover your nose and mouth and evacuate outside."
fire,"If a fire breaks out, escape quickly in a low position"
fire,Always unplug electrical appliances after use.
fire,Use the stairs instead of the elevator when evacuating
environmental protection,Loving trees and flowers without picking them
environmental pollution,Separate and recycle trash to dispose of it cleanly
seasonal change,Dress properly when the weather changes
revolving door,Pass through revolving doors slowly without messing around.
Crosswalk,Raise your hand and cross bravely at the green light
Crosswalk,Check if the car has stopped before crossing.
TV viewing,Watch television from a distance in a proper posture
TV Safety,Do not hang or climb on the television
Kidnapping prevention,"Shout ""No"" if a stranger asks you to go together"
playground,Ride the rides in an orderly fashion.
Kidnapping prevention,"If you get lost, ask a police officer or a store for help."
Washing hands,Wash your hands with soap after using the restroom.
fire,"If a fire breaks out, do not hide; evacuate outside quickly."
warm-up exercises,Stretch thoroughly before exercising
toy,Play nicely with friends without throwing toys
bus,Sit quietly in your seat on the bus
Internet,Keep my name and phone number a secret on the internet
kitchen,"There are many dangerous items in the kitchen, so be careful."
drugs,Always ask your parents or a doctor about medication.
food,Choose and eat only healthy and fresh food
Water play,"It is slippery in the swimming pool, so walk carefully."
subway,Wait safely behind the yellow line on the subway
bathroom,Walk slowly in the bathroom instead of running
Children's rights,Treat a friend's heart as precious as your own.
classroom,Speaking quietly in the classroom without raising your voice
plant,Just admire the plants in the park with your eyes.
car signal,"Even if the light is green, make sure to check if the car has stopped."
food poisoning,"In the summer, store food in the refrigerator and cook it thoroughly before eating."
lift,Do not force your way on when the doors are closing; take the next one.
approximately,"Pills are not candy, so do not eat them carelessly."
fire,"Lighters are dangerous, so never touch them."
earthquake,"If an earthquake occurs, protect your head and hide under a desk"
burn,"When burned by hot water, cool it down with cold water."
camping,Always be with an adult when starting a fire at a campsite.
